name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
PAU8,0.0,0.0,0.0
YAL069W,0.0,0.0,0.0
NUP60,327.37424356707174,144.73240806212254,117.53807476272371
SWD1,208.44072420581296,237.48744192196773,194.57690010017419
RFA1,148.69865880915643,212.80854683555202,186.58300080701517
SEN34,148.69865880915643,212.80854683555202,186.58300080701517
YAR009C,0.0,0.0,0.0
YAR010C,0.0,0.0,0.0
BUD14,1240.6619090264917,1567.646990320263,2592.750918055529
ADE1,1240.6619090264917,1567.646990320263,2592.750918055529
KIN3,301.4364616872192,267.10319358122564,245.86107345132493
CDC15,49.97160552775638,108.34651624637758,126.53195254605845
PAU7,0.0,0.0,0.0
YAR023C,163.67026290662287,248.96604786045242,220.68517533117569
UIP3,292.1273307408935,293.4465172436938,427.94900874135675
YAR028W,198.34423666611156,155.86647165775457,248.07913101421352
YAR029W,0.0,0.0,0.0
YAR030C,0.0,0.0,0.0
PRM9,0.0,0.0,0.0
MST28,40.0646223118367,167.43175640383953,148.3466867901323
YAT1,701.0704725118471,644.3162490051459,697.9521333873632
SWH1,477.94538663559354,615.157471517153,331.27766622634414
[],0.0,0.0,0.0
YAR047C,0.0,0.0,0.0
FLO1,0.0,0.0,0.0
YAR053W,0.0,0.0,0.0
YAR060C,0.0,0.0,0.0
YAR061W,0.0,0.0,0.0
YAR062W,0.0,0.0,0.0
YAR064W,0.0,0.0,0.0
YAR066W,0.0,0.0,0.0
YAR068W,0.0,0.0,0.0
YAR069C,0.0,0.0,0.0
YAR070C,0.0,0.0,0.0
PHO11,0.0,0.0,0.0
IMD1,0.0,0.0,0.0
YAR075W,0.0,0.0,0.0
ECM15,554.9136277648802,570.704765950918,497.96623033993535
HTB2,14478.759194790033,12406.057659026654,16605.10945063719
HTA2,14478.759194790033,12406.057659026654,16605.10945063719
UTP20,1318.3318260617166,1483.7893869129484,2162.7644092162705
PDR3,1172.9240131395932,1598.0038121075754,2360.944686820254
LDB7,1172.9240131395932,1598.0038121075754,2360.944686820254
SLA1,1113.988108629187,917.4995553052648,1164.0880139010537
HIR1,186.55368021657546,69.87270152037179,136.7992818298821
ALK2,401.0828221353176,282.5762536411878,386.41877300295533
LAA2,401.0828221353176,282.5762536411878,386.41877300295533
SCT1,1605.9095479959797,1634.1017072669706,2050.6316089382135
YBL012C,0.0,0.0,0.0
FMT1,1790.5389107689225,2001.1289350980933,2437.570893605669
RRN6,1790.5389107689225,2001.1289350980933,2437.570893605669
ACH1,2387.158930655242,2583.692228357236,1249.2513635074513
FUS3,0.0,0.0,0.0
PEP1,1131.208638563548,1033.9121088972581,1619.567350241581
POP8,461.50883682827066,440.02130918112215,649.3326697345726
APN2,141.99167839492688,286.0411123852848,254.1696079288253
RFT1,315.58108367492986,1288.4579386276937,1150.3867633157931
HAP3,315.58108367492986,1288.4579386276937,1150.3867633157931
PIM1,761.3964087622358,882.9706247788481,757.2569161353622
MCM2,123.5269630074177,96.08066197321838,151.9368032729032
NCL1,232.87292074637563,623.4602149469388,567.2754566226183
RRN10,273.4807672558475,378.0508712672783,184.96450708631102
LSM2,211.0235539594262,237.2427013227916,346.88786426517413
RPL19B,1509.4489781632005,1937.4440085898693,2077.1007281570155
YBL028C,1509.4489781632005,1937.4440085898693,2077.1007281570155
YBL029W,3470.8171669913927,4195.041939831345,2338.824071202393
PET9,1147.6521543889864,965.7896473975336,2103.342782615461
SHE1,385.01614294163244,363.8179258672622,554.1611815566589
HEK2,1130.6051974923093,1309.473657991382,1374.96197290953
RIB1,1130.6051974923093,1309.473657991382,1374.96197290953
STU1,286.84418899406296,313.1625322201854,722.2772189564888
POL12,150.76743871190985,0.0,138.92463169293518
YBL036C,192.22969322246925,294.3811224697057,481.5864950174188
APL3,490.1869220313405,423.08630377664963,237.64668504953303
MRPL16,142.55520526493387,193.69477945761724,292.25509667088676
URA7,142.55520526493387,193.69477945761724,292.25509667088676
ERD2,292.00208777952435,346.590646128275,578.5572409445681
PRE7,5811.453627959969,5761.4935487071525,7714.528885865239
FUI1,5075.583594060448,5167.554452682538,6785.926865623471
ECM13,4862.408578831271,5820.240570125532,7095.305448883536
YBL044W,0.0,0.0,0.0
COR1,5374.243406108593,6710.313504433074,7672.7907227982805
PSY4,1058.1253265425419,838.0681441430359,585.1928499130937
EDE1,1058.1253265425419,838.0681441430359,585.1928499130937
RRT1,0.0,0.0,0.0
MOH1,0.0,0.0,0.0
SEC17,595.0965754365147,438.000529550265,545.5132618824362
PIN4,595.0965754365147,438.000529550265,545.5132618824362
SAS3,311.8828507054252,250.22867214929266,156.84574677513672
YBL053W,0.0,0.0,0.0
TOD6,589.7597045087126,650.1613161517091,678.6522587594118
YBL055C,589.7597045087126,650.1613161517091,678.6522587594118
